,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
01,"100,054","100,439","101,404","102,444","104,306","105,726","106,502","107,056","108,523","109,166","120,447","134,156"
02,"99,923","100,579","101,754","102,648","104,329","106,012","106,736","107,536","108,565","109,962","127,915","134,050"
03,"99,875","100,732","101,682","102,743","105,167","106,061","106,991","107,642","108,860","110,708","128,992","134,195"
04,"99,842","100,803","101,870","103,507","105,329","106,134","106,237","107,722","108,712","111,008","129,785","133,997"
05,"99,874","100,804","102,260","103,619","105,709","106,089","106,228","107,884","108,699","112,158","131,830","135,219"
06,"99,781","100,902","102,183","103,928","105,522","106,139","106,484","108,034","108,734","113,753","132,456","135,177"
07,"99,911","100,835","102,252","103,928","105,670","106,225","106,746","108,038","108,853","115,277","133,110",
08,"99,904","100,963","102,264","103,942","105,699","106,180","106,723","108,184","108,867","115,859","133,942",
09,"99,969","100,934","102,270","103,850","105,710","106,085","106,777","108,345","108,970","116,124","133,832",
10,"100,164","100,968","102,069","103,860","105,757","106,184","106,750","108,325","109,009","117,381","133,719",
11,"100,259","101,072","102,188","103,587","105,590","106,261","106,776","108,340","109,228","118,027","133,609",
12,"100,172","101,030","102,158","103,612","105,414","106,372","106,717","108,378","109,195","118,607","133,485",
